"Date","Province","CaseCounts"
2020-04-04,"AB",745.183355034172
2020-04-05,"AB",854.266552470417
2020-04-06,"AB",970.373007757583
2020-04-07,"AB",1092.94987541237
2020-04-08,"AB",1221.45781819322
2020-04-09,"AB",1355.37100710028
2020-04-10,"AB",1494.17712137547
2020-04-11,"AB",1637.37734850241
2020-04-12,"AB",1784.48638420647
2020-04-13,"AB",1935.03243245476
2020-04-14,"AB",2088.55720545609
2020-04-15,"AB",2244.61592366104
2020-04-16,"AB",2402.77731576189
2020-04-17,"AB",2562.62361869269
2020-04-18,"AB",2723.7505776292
2020-04-19,"AB",2885.76744598891
2020-04-20,"AB",3048.29698543105
2020-04-21,"AB",3210.97546585658
2020-04-22,"AB",3373.4526654082
2020-04-23,"AB",3535.39187047033
2020-04-24,"AB",3696.46987566914
2020-04-25,"AB",3856.37698387253
2020-04-26,"AB",4014.8170061901
2020-04-27,"AB",4171.50726197324
2020-04-28,"AB",4326.17857881503
2020-04-29,"AB",4478.57529255029
2020-04-30,"AB",4628.45524725559
2020-05-01,"AB",4775.58979524921
2020-05-02,"AB",4919.76379709118
2020-05-03,"AB",5060.77562158326
2020-05-04,"AB",5198.43714576894
2020-05-05,"AB",5332.57375493344
2020-05-06,"AB",5463.02434260372
2020-05-07,"AB",5589.64131054846
2020-05-08,"AB",5712.2905687781
2020-05-09,"AB",5830.85153554478
2020-05-10,"AB",5945.21713734239
2020-05-11,"AB",6055.29380890655
2020-05-12,"AB",6161.00149321462
2020-05-13,"AB",6262.27364148568
2020-05-14,"AB",6359.05721318056
2020-05-15,"AB",6451.31267600181
2020-05-16,"AB",6539.01400589371
2020-05-17,"AB",6622.14868704228
2020-05-18,"AB",6700.71771187527
2020-05-19,"AB",6774.73558106217
2020-05-20,"AB",6844.23030351419
2020-05-21,"AB",6909.24339638429
2020-05-22,"AB",6969.82988506715
2020-05-23,"AB",7026.05830319919
2020-05-24,"AB",7078.01069265855
2020-05-25,"AB",7125.78260356511
2020-05-26,"AB",7169.4830942805
2020-05-27,"AB",7209.23473140806
2020-05-28,"AB",7245.17358979287
2020-05-29,"AB",7277.44925252175
2020-05-30,"AB",7306.22481092323
2020-05-31,"AB",7331.67686456762
2020-06-01,"AB",7353.9955212669
2020-06-02,"AB",7373.38439707484
2020-06-03,"AB",7390.0606162869
2020-06-04,"AB",7404.25481144031
2020-06-05,"AB",7416.21112331401
2020-06-06,"AB",7426.18720092867
2020-06-07,"AB",7434.4542015467
2020-06-08,"AB",7441.2963440022
2020-06-09,"AB",7447.00267853725
2020-06-10,"AB",7451.85524754418
2020-06-11,"AB",7456.12737321132
2020-06-12,"AB",7460.08365680826
2020-06-13,"AB",7463.9799786859
2020-06-14,"AB",7468.06349827642
2020-06-15,"AB",7472.57265409329
2020-06-16,"AB",7477.73716373129
2020-06-17,"AB",7483.77802386647
2020-06-18,"AB",7490.90751025618
2020-06-19,"AB",7499.32917773905
2020-06-20,"AB",7509.23786023501
2020-06-21,"AB",7520.8196707453
2020-06-22,"AB",7534.25200135241
2020-06-23,"AB",7549.70352322015
2020-06-24,"AB",7567.33418659362
2020-06-25,"AB",7587.29522079919
2020-06-26,"AB",7609.72913424455
2020-06-27,"AB",7634.76971441867
2020-06-28,"AB",7662.54202789179
2020-06-29,"AB",7693.16242031547
2020-06-30,"AB",7726.73851642254
2020-07-01,"AB",7763.36922002715
2020-07-02,"AB",7803.1447140247
2020-07-03,"AB",7846.14646039192
2020-07-04,"AB",7892.4472001868
2020-07-05,"AB",7942.11095354864
2020-07-06,"AB",7995.19301969802
2020-07-07,"AB",8051.73997693682
2020-07-08,"AB",8111.78968264822
2020-07-09,"AB",8175.37127329665
2020-07-10,"AB",8242.50516442789
2020-07-11,"AB",8313.20305066895
2020-07-12,"AB",8387.46790572819
2020-07-13,"AB",8465.29398239521
2020-07-14,"AB",8546.66681254094
2020-07-15,"AB",8631.56320711757
2020-07-16,"AB",8719.9512561586
2020-07-17,"AB",8811.79032877882
2020-07-18,"AB",8907.0310731743
2020-07-19,"AB",9005.61541662241
2020-07-20,"AB",9107.47656548182
2020-07-21,"AB",9212.53900519246
2020-07-22,"AB",9320.71850027559
2020-07-23,"AB",9431.92209433372
2020-07-24,"AB",9546.04811005069
2020-07-25,"AB",9662.98614919161
2020-07-26,"AB",9782.61709260289
2020-07-27,"AB",9904.81310021221
2020-07-28,"AB",10029.4376110286
2020-07-29,"AB",10156.3453431422
2020-07-30,"AB",10285.3822937248
2020-07-31,"AB",10416.3857390291
2020-08-01,"AB",10549.1842343893
2020-08-02,"AB",10683.5976142208
2020-08-03,"AB",10819.4369920204
2020-08-04,"AB",10956.5047603661
2020-08-05,"AB",11094.5945909171
2020-08-06,"AB",11233.4914344142
2020-08-07,"AB",11372.9715206792
2020-08-08,"AB",11512.8023586153
2020-08-09,"AB",11652.742736207
2020-08-10,"AB",11792.54272052
2020-08-11,"AB",11931.9438633788
2020-08-12,"AB",12070.6862072563
2020-08-13,"AB",12208.5228241004
2020-08-14,"AB",12345.2230419004
2020-08-15,"AB",12480.572457541
2020-08-16,"AB",12614.3729368031
2020-08-17,"AB",12746.4426143633
2020-08-18,"AB",12876.6158937939
2020-08-19,"AB",13004.7434475633
2020-08-20,"AB",13130.6922170354
2020-08-21,"AB",13254.3454124703
2020-08-22,"AB",13375.6025130236
2020-08-23,"AB",13494.3792667469
2020-08-24,"AB",13610.6076905876
2020-08-25,"AB",13724.2360703889
2020-08-26,"AB",13835.2289608899
2020-08-27,"AB",13943.5671857254
2020-08-28,"AB",14049.2478374262
2020-08-29,"AB",14152.2842774188
2020-08-30,"AB",14252.7061360255
2020-08-31,"AB",14350.5593124646
2020-09-01,"AB",14445.9059748501
2020-09-02,"AB",14538.8245601919
2020-09-03,"AB",14629.4097743956
2020-09-04,"AB",14717.7725922627
2020-09-05,"AB",14804.0402574906
2020-09-06,"AB",14888.3562826725
2020-09-07,"AB",14970.8804492973
2020-09-08,"AB",15051.78880775
2020-09-09,"AB",15131.2736773111
2020-09-10,"AB",15209.5436461572
2020-09-11,"AB",15286.8235713605
2020-09-12,"AB",15363.3545788893
2020-09-13,"AB",15439.3940636075
2020-09-14,"AB",15515.2156892749
2020-09-15,"AB",15591.1093885471
2020-09-16,"AB",15667.3813629757
2020-09-17,"AB",15744.3540830079
2020-09-18,"AB",15822.3662879868
2020-09-19,"AB",15901.7729861514
2020-09-20,"AB",15982.9454546365
2020-09-21,"AB",16066.2712394727
2020-09-22,"AB",16152.1541555864
2020-09-23,"AB",16241.0142868
2020-09-24,"AB",16333.2879858314
2020-09-25,"AB",16429.4278742947
2020-09-26,"AB",16529.9028426996
2020-09-27,"AB",16635.1980504517
2020-09-28,"AB",16745.8149258524
2020-09-29,"AB",16862.271166099
2020-09-30,"AB",16985.1007372845
2020-10-01,"AB",17114.8538743978
2020-10-02,"AB",17252.0970813237
2020-10-03,"AB",17397.4131308428
2020-10-04,"AB",17551.4010646314
2020-10-05,"AB",17714.6761932618
2020-10-06,"AB",17887.870096202
2020-10-07,"AB",18071.6306218159
2020-10-08,"AB",18266.6218873632
2020-10-09,"AB",18473.5242789994
2020-10-10,"AB",18693.034451776
2020-10-11,"AB",18925.8653296402
2020-10-12,"AB",19172.7461054348
2020-10-13,"AB",19434.4222408989
2020-10-14,"AB",19711.6553352385
2020-10-15,"AB",20005.2131365531
2020-10-16,"AB",20315.8393132567
2020-10-17,"AB",20644.2434655043
2020-10-18,"AB",20991.100993763
2020-10-19,"AB",21357.0530988121
2020-10-20,"AB",21742.706781743
2020-10-21,"AB",22148.6348439594
2020-10-22,"AB",22575.3758871772
2020-10-23,"AB",23023.4343134245
2020-10-24,"AB",23493.2803250414
2020-10-25,"AB",23985.3499246806
2020-10-26,"AB",24500.0449153065
2020-10-27,"AB",25037.7329001961
2020-10-28,"AB",25598.7472829383
2020-10-29,"AB",26183.3872674344
2020-10-30,"AB",26791.9178578978
2020-10-31,"AB",27424.5698588541
2020-11-01,"AB",28081.5398751412
2020-11-02,"AB",28762.9903119089
2020-11-03,"AB",29469.0493746195
2020-11-04,"AB",30199.8110690473
2020-11-05,"AB",30955.335201279
2020-11-06,"AB",31735.6473777133
2020-11-07,"AB",32540.7390050612
2020-11-08,"AB",33370.5672903457
2020-11-09,"AB",34225.0552409023
2020-11-10,"AB",35104.0916643785
2020-11-11,"AB",36007.5311687341
2020-11-12,"AB",36935.1941622408
2020-11-13,"AB",37886.866853483
2020-11-14,"AB",38862.3012513568
2020-11-15,"AB",39861.2151650708
2020-11-16,"AB",40883.2922041456
2020-11-17,"AB",41928.1817784143
2020-11-18,"AB",42995.4990980217
2020-11-19,"AB",44084.8251734253
2020-11-20,"AB",45195.7068153945
2020-11-21,"AB",46327.6566350109
2020-11-22,"AB",47480.1530436684
2020-11-23,"AB",48652.6402530731
2020-11-24,"AB",49844.5282752432
2020-11-25,"AB",51055.1929225091
2020-11-26,"AB",52283.9758075135
2020-11-27,"AB",53530.1843432111
2020-11-28,"AB",54793.0917428691
2020-11-29,"AB",56071.9370200665
2020-11-30,"AB",57365.9249886948
2020-12-01,"AB",58674.2262629576
2020-12-02,"AB",59995.9772573707
2020-12-03,"AB",61330.280186762
2020-12-04,"AB",62676.2030662718
2020-12-05,"AB",64032.7797113523
2020-12-06,"AB",65399.0097377682
2020-12-07,"AB",66773.8585615962
2020-12-08,"AB",68156.2573992252
2020-12-09,"AB",69545.1032673564
2020-12-10,"AB",70939.2589830031
2020-12-11,"AB",72337.5531634909
2020-12-12,"AB",73738.7802264573
2020-12-13,"AB",75141.7003898525
2020-12-14,"AB",76545.0396719384
2020-12-15,"AB",77947.4898912894
2020-12-16,"AB",79347.7086667919
2020-12-17,"AB",80744.3194585723
2020-12-18,"AB",82135.921840841
2020-12-19,"AB",83521.137791083
2020-12-20,"AB",84898.6339956358
2020-12-21,"AB",86267.1225045322
2020-12-22,"AB",87625.3607315003
2020-12-23,"AB",88972.1514539634
2020-12-24,"AB",90306.3428130401
2020-12-25,"AB",91626.8283135443
2020-12-26,"AB",92932.546823985
2020-12-27,"AB",94222.4825765666
2020-12-28,"AB",95495.6651671887
2020-12-29,"AB",96751.1695554462
2020-12-30,"AB",97988.1160646292
2020-12-31,"AB",99205.6703817232
2021-01-01,"AB",100403.043557409
2021-01-02,"AB",101579.492006062
2021-01-03,"AB",102734.317505754
2021-01-04,"AB",103866.867198251
2021-01-05,"AB",104976.533589014
2021-01-06,"AB",106062.754547202
2021-01-07,"AB",107125.013305665
2021-01-08,"AB",108162.838460952
2021-01-09,"AB",109175.803973305
2021-01-10,"AB",110163.529166662
2021-01-11,"AB",111125.678728657
2021-01-12,"AB",112061.962710618
2021-01-13,"AB",112972.136527568
2021-01-14,"AB",113856.000958227
2021-01-15,"AB",114713.402145009
2021-01-16,"AB",115544.231594023
2021-01-17,"AB",116348.426175075
2021-01-18,"AB",117125.968121664
2021-01-19,"AB",117876.885030986
2021-01-20,"AB",118601.249863931
2021-01-21,"AB",119299.180945085
2021-01-22,"AB",119970.841962729
2021-01-23,"AB",120616.44196884
2021-01-24,"AB",121236.235379089
2021-01-25,"AB",121830.521972844
2021-01-26,"AB",122399.646893165
2021-01-27,"AB",122944.000646811
2021-01-28,"AB",123464.019104234
2021-01-29,"AB",123960.183499582
2021-01-30,"AB",124433.020430699
2021-01-31,"AB",124883.101859122
2021-02-01,"AB",125311.045110086
2021-02-02,"AB",125717.512872519
2021-02-03,"AB",126103.213199045
2021-02-04,"AB",126468.899505985
2021-02-05,"AB",126815.370573352
2021-02-06,"AB",127143.470544857
2021-02-07,"AB",127454.088927905
2021-02-08,"AB",127748.160593597
2021-02-09,"AB",128026.665776728
2021-02-10,"AB",128290.630075788
2021-02-11,"AB",128541.124452966
2021-02-12,"AB",128779.265234141
2021-02-13,"AB",129006.214108891
2021-02-14,"AB",129223.178130489
2021-02-15,"AB",129431.4097159
2021-02-16,"AB",129632.206645788
2021-02-17,"AB",129826.912064511
2021-02-18,"AB",130016.914480121
2021-02-19,"AB",130203.647761705
2021-02-20,"AB",130388.584759771
2021-02-21,"AB",130573.19319748
2021-02-22,"AB",130758.905008049
2021-02-23,"AB",130947.114670619
2021-02-24,"AB",131139.179210255
2021-02-25,"AB",131336.418197947
2021-02-26,"AB",131540.113750608
2021-02-27,"AB",131751.510531078
2021-02-28,"AB",131971.81574812
2021-03-01,"AB",132202.199156422
2021-03-02,"AB",132443.793056596
2021-03-03,"AB",132697.692295179
2021-03-04,"AB",132964.954264632
2021-03-05,"AB",133246.598903342
2021-03-06,"AB",133543.608695619
2021-03-07,"AB",133856.928671697
2021-03-08,"AB",134187.466407737
2021-03-09,"AB",134536.092025822
2021-03-10,"AB",134903.63819396
2021-03-11,"AB",135290.900126085
2021-03-12,"AB",135698.635582054
2021-03-13,"AB",136127.564867649
2021-03-14,"AB",136578.370834577
2021-03-15,"AB",137051.698880469
2021-03-16,"AB",137548.15694888
2021-03-17,"AB",138068.315529291
2021-03-18,"AB",138612.707657106
2021-03-19,"AB",139181.828913654
2021-03-20,"AB",139776.137426189
2021-03-21,"AB",140396.053867889
2021-03-22,"AB",141041.961457857
2021-03-23,"AB",141714.20596112
2021-03-24,"AB",142413.09568863
2021-03-25,"AB",143138.901497262
2021-03-26,"AB",143891.856789818
2021-03-27,"AB",144672.157515024
2021-03-28,"AB",145479.962167527
2021-03-29,"AB",146315.391787904
2021-03-30,"AB",147178.529962653
2021-03-31,"AB",148069.422824197
2021-04-01,"AB",148988.079050884
2021-04-02,"AB",149934.469866987
2021-04-03,"AB",150908.529042701
2021-04-04,"AB",151910.15289415
2021-04-05,"AB",152939.200283378
2021-04-06,"AB",153995.492618356
2021-04-07,"AB",155078.813852979
2021-04-08,"AB",156188.910487067
2021-04-09,"AB",157325.491566363
2021-04-10,"AB",158488.228682536
2021-04-11,"AB",159676.755973179
2021-04-12,"AB",160890.67012181
2021-04-13,"AB",162129.530357871
2021-04-14,"AB",163392.858456727
2021-04-15,"AB",164680.138739671
2021-04-16,"AB",165990.818073917
2021-04-17,"AB",167324.305872607
2021-04-18,"AB",168679.974094804
2021-04-19,"AB",170057.157245498
2021-04-20,"AB",171455.152375602
2021-04-21,"AB",172873.219081955
2021-04-22,"AB",174310.579507319
2021-04-23,"AB",175766.418340382
2021-04-24,"AB",177239.882815755
2020-04-04,"BC",1213.50074902967
2020-04-05,"BC",1232.13049869447
2020-04-06,"BC",1252.75618170215
2020-04-07,"BC",1275.23434506424
2020-04-08,"BC",1299.42501028597
2020-04-09,"BC",1325.1916733663
2020-04-10,"BC",1352.40130479791
2020-04-11,"BC",1380.92434956718
2020-04-12,"BC",1410.63472715422
2020-04-13,"BC",1441.40983153285
2020-04-14,"BC",1473.1305311706
2020-04-15,"BC",1505.68116902872
2020-04-16,"BC",1538.94956256218
2020-04-17,"BC",1572.82700371966
2020-04-18,"BC",1607.20825894355
2020-04-19,"BC",1641.99156916997
2020-04-20,"BC",1677.07864982875
2020-04-21,"BC",1712.37469084342
2020-04-22,"BC",1747.78835663124
2020-04-23,"BC",1783.23178610319
2020-04-24,"BC",1818.62059266395
2020-04-25,"BC",1853.87386421193
2020-04-26,"BC",1888.91416313925
2020-04-27,"BC",1923.66752633174
2020-04-28,"BC",1958.06346516895
2020-04-29,"BC",1992.03496552415
2020-04-30,"BC",2025.51848776432
2020-05-01,"BC",2058.45396675015
2020-05-02,"BC",2090.78481183606
2020-05-03,"BC",2122.45790687017
2020-05-04,"BC",2153.42361019433
2020-05-05,"BC",2183.63575464409
2020-05-06,"BC",2213.05164754872
2020-05-07,"BC",2241.63207073122
2020-05-08,"BC",2269.34128050828
2020-05-09,"BC",2296.14700769033
2020-05-10,"BC",2322.0204575815
2020-05-11,"BC",2346.93630997964
2020-05-12,"BC",2370.87271917631
2020-05-13,"BC",2393.81131395681
2020-05-14,"BC",2415.73719760011
2020-05-15,"BC",2436.63894787894
2020-05-16,"BC",2456.50861705971
2020-05-17,"BC",2475.34173190258
2020-05-18,"BC",2493.1372936614
2020-05-19,"BC",2509.89777808374
2020-05-20,"BC",2525.6291354109
2020-05-21,"BC",2540.34079037786
2020-05-22,"BC",2554.04564221336
2020-05-23,"BC",2566.76006463983
2020-05-24,"BC",2578.50390587341
2020-05-25,"BC",2589.30048862398
2020-05-26,"BC",2599.17661009511
2020-05-27,"BC",2608.16254198409
2020-05-28,"BC",2616.29203048195
2020-05-29,"BC",2623.6022962734
2020-05-30,"BC",2630.13403453689
2020-05-31,"BC",2635.93141494458
2020-06-01,"BC",2641.04208166233
2020-06-02,"BC",2645.51715334974
2020-06-03,"BC",2649.41122316011
2020-06-04,"BC",2652.78235874046
2020-06-05,"BC",2655.69210223152
2020-06-06,"BC",2658.20547026775
2020-06-07,"BC",2660.3909539773
2020-06-08,"BC",2662.32041156715
2020-06-09,"BC",2664.06708913899
2020-06-10,"BC",2665.70277359265
2020-06-11,"BC",2667.29738084037
2020-06-12,"BC",2668.91895563488
2020-06-13,"BC",2670.63367156944
2020-06-14,"BC",2672.50583107782
2020-06-15,"BC",2674.5978654343
2020-06-16,"BC",2676.97033475368
2020-06-17,"BC",2679.68192799127
2020-06-18,"BC",2682.78946294291
2020-06-19,"BC",2686.34788624492
2020-06-20,"BC",2690.41027337417
2020-06-21,"BC",2695.02782864803
2020-06-22,"BC",2700.24988522439
2020-06-23,"BC",2706.12390510165
2020-06-24,"BC",2712.69547911872
2020-06-25,"BC",2720.00832695503
2020-06-26,"BC",2728.10429713053
2020-06-27,"BC",2737.02336700569
2020-06-28,"BC",2746.80364278146
2020-06-29,"BC",2757.48135949935
2020-06-30,"BC",2769.09088104135
2020-07-01,"BC",2781.66470012999
2020-07-02,"BC",2795.2334383283
2020-07-03,"BC",2809.82584603982
2020-07-04,"BC",2825.46880250862
2020-07-05,"BC",2842.18731581928
2020-07-06,"BC",2860.00452289688
2020-07-07,"BC",2878.94168950704
2020-07-08,"BC",2899.01821025587
2020-07-09,"BC",2920.25160859002
2020-07-10,"BC",2942.65753679662
2020-07-11,"BC",2966.24977600336
2020-07-12,"BC",2991.04023617839
2020-07-13,"BC",3017.03895613044
2020-07-14,"BC",3044.25410350869
2020-07-15,"BC",3072.69197480288
2020-07-16,"BC",3102.35699534324
2020-07-17,"BC",3133.25171930053
2020-07-18,"BC",3165.37682968601
2020-07-19,"BC",3198.73113835147
2020-07-20,"BC",3233.31158598921
2020-07-21,"BC",3269.11324213204
2020-07-22,"BC",3306.12930515328
2020-07-23,"BC",3344.35110226678
2020-07-24,"BC",3383.76808952688
2020-07-25,"BC",3424.36785182848
2020-07-26,"BC",3466.13610290694
2020-07-27,"BC",3509.05668533817
2020-07-28,"BC",3553.11157053858
2020-07-29,"BC",3598.2808587651
2020-07-30,"BC",3644.54277911519
2020-07-31,"BC",3691.87368952679
2020-08-01,"BC",3740.24807677838
2020-08-02,"BC",3789.63855648895
2020-08-03,"BC",3840.015873118
2020-08-04,"BC",3891.34889996555
2020-08-05,"BC",3943.60463917213
2020-08-06,"BC",3996.74822171879
2020-08-07,"BC",4050.74290742709
2020-08-08,"BC",4105.55008495911
2020-08-09,"BC",4161.12927181744
2020-08-10,"BC",4217.43811434517
2020-08-11,"BC",4274.43244138616
2020-08-12,"BC",4332.06809208581
2020-08-13,"BC",4390.30470899721
2020-08-14,"BC",4449.10657987558
2020-08-15,"BC",4508.44264103209
2020-08-16,"BC",4568.28647733386
2020-08-17,"BC",4628.6163222039
2020-08-18,"BC",4689.4150576212
2020-08-19,"BC",4750.67021412064
2020-08-20,"BC",4812.37397079306
2020-08-21,"BC",4874.52315528522
2020-08-22,"BC",4937.11924379982
2020-08-23,"BC",5000.1683610955
2020-08-24,"BC",5063.6812804868
2020-08-25,"BC",5127.67342384423
2020-08-26,"BC",5192.16486159421
2020-08-27,"BC",5257.18031271911
2020-08-28,"BC",5322.74914475721
2020-08-29,"BC",5388.90537380274
2020-08-30,"BC",5455.68766450586
2020-08-31,"BC",5523.13933007265
2020-09-01,"BC",5591.30833226515
2020-09-02,"BC",5660.24728140129
2020-09-03,"BC",5730.01343635498
2020-09-04,"BC",5800.66870455603
2020-09-05,"BC",5872.27964199019
2020-09-06,"BC",5944.91745319915
2020-09-07,"BC",6018.65799128053
2020-09-08,"BC",6093.58175788787
2020-09-09,"BC",6169.77390323066
2020-09-10,"BC",6247.32422607431
2020-09-11,"BC",6326.32717374018
2020-09-12,"BC",6406.88184210553
2020-09-13,"BC",6489.09197560359
2020-09-14,"BC",6573.06596722351
2020-09-15,"BC",6658.91685851034
2020-09-16,"BC",6746.76233956512
2020-09-17,"BC",6836.72474904478
2020-09-18,"BC",6928.93107416219
2020-09-19,"BC",7023.51295068617
2020-09-20,"BC",7120.60666294146
2020-09-21,"BC",7220.35314380872
2020-09-22,"BC",7322.89797472456
2020-09-23,"BC",7428.39138568153
2020-09-24,"BC",7536.98825522809
2020-09-25,"BC",7648.84811046865
2020-09-26,"BC",7764.13512706354
2020-09-27,"BC",7883.01812922903
2020-09-28,"BC",8005.67058973732
2020-09-29,"BC",8132.27062991654
2020-09-30,"BC",8263.00101965077
2020-10-01,"BC",8398.04917737999
2020-10-02,"BC",8537.60717010015
2020-10-03,"BC",8681.87171336309
2020-10-04,"BC",8831.04417127663
2020-10-05,"BC",8985.33055650449
2020-10-06,"BC",9144.94153026633
2020-10-07,"BC",9310.09240233774
2020-10-08,"BC",9481.00313105025
2020-10-09,"BC",9657.89832329132
2020-10-10,"BC",9841.00723450433
2020-10-11,"BC",10030.5637686886
2020-10-12,"BC",10226.8064783995
2020-10-13,"BC",10429.978564748
2020-10-14,"BC",10640.3278346827
2020-10-15,"BC",10858.1034543665
2020-10-16,"BC",11083.5461238723
2020-10-17,"BC",11316.8848305597
2020-10-18,"BC",11558.3368063568
2020-10-19,"BC",11808.1075277602
2020-10-20,"BC",12066.3907158346
2020-10-21,"BC",12333.3683362132
2020-10-22,"BC",12609.2105990974
2020-10-23,"BC",12894.0759592573
2020-10-24,"BC",13188.1111160309
2020-10-25,"BC",13491.4510133248
2020-10-26,"BC",13804.218839614
2020-10-27,"BC",14126.5260279418
2020-10-28,"BC",14458.4722559197
2020-10-29,"BC",14800.1454457277
2020-10-30,"BC",15151.6217641141
2020-10-31,"BC",15512.9656223957
2020-11-01,"BC",15884.2296764575
2020-11-02,"BC",16265.4548267527
2020-11-03,"BC",16656.6702183032
2020-11-04,"BC",17057.8932406991
2020-11-05,"BC",17469.1295280987
2020-11-06,"BC",17890.3729592289
2020-11-07,"BC",18321.6056573847
2020-11-08,"BC",18762.7979904297
2020-11-09,"BC",19213.9085707957
2020-11-10,"BC",19674.8842554829
2020-11-11,"BC",20145.6601460598
2020-11-12,"BC",20626.1595886633
2020-11-13,"BC",21116.2941739987
2020-11-14,"BC",21615.9637373396
2020-11-15,"BC",22125.0563585278
2020-11-16,"BC",22643.4483619737
2020-11-17,"BC",23171.004316656
2020-11-18,"BC",23707.5770361216
2020-11-19,"BC",24253.0075784858
2020-11-20,"BC",24807.1252464325
2020-11-21,"BC",25369.7475872136
2020-11-22,"BC",25940.6803926495
2020-11-23,"BC",26519.717699129
2020-11-24,"BC",27106.6417876092
2020-11-25,"BC",27701.2231836156
2020-11-26,"BC",28303.2206572419
2020-11-27,"BC",28912.3812231503
2020-11-28,"BC",29528.4401405714
2020-11-29,"BC",30151.1209133039
2020-11-30,"BC",30780.1352897152
2020-12-01,"BC",31415.1832627407
2020-12-02,"BC",32055.9530698844
2020-12-03,"BC",32702.1211932185
2020-12-04,"BC",33353.3523593837
2020-12-05,"BC",34009.299539589
2020-12-06,"BC",34669.6039496116
2020-12-07,"BC",35333.8950497972
2020-12-08,"BC",36001.7905450599
2020-12-09,"BC",36672.896384882
2020-12-10,"BC",37346.8067633143
2020-12-11,"BC",38023.1041189758
2020-12-12,"BC",38701.3591350539
2020-12-13,"BC",39381.1307393045
2020-12-14,"BC",40061.9661040517
2020-12-15,"BC",40743.4006461879
